country,district_code,district,centx,centy,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date,province,administrative_region,quarters
South Sudan,74,Bor,32.00486,6.465644,2009,7,2.0,,0.5155502,82.73602,13.68619,-9.698671,14.02767,-7.561892,0,0,1.098674,14008.33,7.961984,256618.0,11393.76,90.8503,2009-07-01,Greater Upper Nile,Greater Upper Nile,2009Q3
South Sudan,74,Bor,32.00486,6.465644,2009,10,2.0,,0.606967,100.2287,11.13094,-6.215118,18.34797,-0.1773589,1,7,1.185251,14008.33,7.961984,256618.0,11393.76,90.8503,2009-10-01,Greater Upper Nile,Greater Upper Nile,2009Q4
South Sudan,74,Bor,32.00486,6.465644,2010,1,1.0,,0.2535015,83.79816,0.2931342,-0.06891564,0.1679761,-0.4543933,0,0,1.238529,14008.33,7.961984,265263.0,11393.76,90.8503,2010-01-01,Greater Upper Nile,Greater Upper Nile,2010Q1
South Sudan,74,Bor,32.00486,6.465644,2010,4,2.0,,0.2275614,76.68565,7.614567,-5.549418,1.413454,-4.22291,0,0,1.292882,14008.33,7.961984,265263.0,11393.76,90.8503,2010-04-01,Greater Upper Nile,Greater Upper Nile,2010Q2
South Sudan,74,Bor,32.00486,6.465644,2010,7,2.0,,0.5923244,95.05682,32.51312,9.128263,19.93449,-1.655068,0,0,1.251864,14008.33,7.961984,265263.0,11393.76,90.8503,2010-07-01,Greater Upper Nile,Greater Upper Nile,2010Q3
South Sudan,74,Bor,32.00486,6.465644,2010,10,2.0,,0.641986,106.0114,19.63301,2.286952,20.85407,2.328747,0,0,1.278539,14008.33,7.961984,265263.0,11393.76,90.8503,2010-10-01,Greater Upper Nile,Greater Upper Nile,2010Q4
South Sudan,74,Bor,32.00486,6.465644,2011,1,1.0,,0.3916366,129.4605,0.2438882,-0.1181617,1.23314,0.6107702,1,0,1.266479,14008.33,7.961984,271467.0,11393.76,90.8503,2011-01-01,Greater Upper Nile,Greater Upper Nile,2011Q1
South Sudan,74,Bor,32.00486,6.465644,2011,4,1.0,,0.2873098,96.8202,7.712567,-5.451418,11.1675,5.531131,2,161,1.253839,14008.33,7.961984,271467.0,11393.76,90.8503,2011-04-01,Greater Upper Nile,Greater Upper Nile,2011Q2
South Sudan,74,Bor,32.00486,6.465644,2011,7,2.0,,0.688878,110.5518,25.09263,1.707771,27.22566,5.636096,0,0,1.376833,14008.33,7.961984,271467.0,11393.76,90.8503,2011-07-01,Greater Upper Nile,Greater Upper Nile,2011Q3
South Sudan,74,Bor,32.00486,6.465644,2011,10,1.0,,0.6373178,105.2405,21.70207,4.356012,25.92152,7.396194,0,0,1.780095,14008.33,7.961984,271467.0,11393.76,90.8503,2011-10-01,Greater Upper Nile,Greater Upper Nile,2011Q4
South Sudan,74,Bor,32.00486,6.465644,2012,1,2.0,,0.3123881,103.2639,0.2429348,-0.1191151,0.2799993,-0.3423701,2,22,2.206228,14008.33,7.961984,277671.0,11393.76,90.8503,2012-01-01,Greater Upper Nile,Greater Upper Nile,2012Q1
South Sudan,74,Bor,32.00486,6.465644,2012,4,2.0,0.0,0.2870931,96.74717,14.36134,1.197359,7.238667,1.602302,1,0,2.355737,14008.33,7.961984,277671.0,11393.76,90.8503,2012-04-01,Greater Upper Nile,Greater Upper Nile,2012Q2
South Sudan,74,Bor,32.00486,6.465644,2012,7,2.0,0.0,0.6620926,106.2533,36.46995,13.08509,27.57007,5.98051,0,0,2.20881,14008.33,7.961984,277671.0,11393.76,90.8503,2012-07-01,Greater Upper Nile,Greater Upper Nile,2012Q3
South Sudan,74,Bor,32.00486,6.465644,2012,10,2.0,0.0,0.6139044,101.3742,20.64718,3.301127,25.27846,6.753136,5,7,2.362269,14008.33,7.961984,277671.0,11393.76,90.8503,2012-10-01,Greater Upper Nile,Greater Upper Nile,2012Q4
South Sudan,74,Bor,32.00486,6.465644,2013,1,1.0,0.0,0.3145096,103.9652,0.3290905,-0.03295935,1.943753,1.321384,4,10,1.891807,14008.33,7.961984,283876.0,11393.76,90.8503,2013-01-01,Greater Upper Nile,Greater Upper Nile,2013Q1
South Sudan,74,Bor,32.00486,6.465644,2013,4,2.0,0.0,0.286365,96.50182,10.71161,-2.452373,2.652064,-2.984301,3,2,1.785579,14008.33,7.961984,283876.0,11393.76,90.8503,2013-04-01,Greater Upper Nile,Greater Upper Nile,2013Q2
South Sudan,74,Bor,32.00486,6.465644,2013,7,2.0,0.0,0.5934337,95.23485,30.11254,6.727679,19.22904,-2.360519,0,0,1.889535,14008.33,7.961984,283876.0,11393.76,90.8503,2013-07-01,Greater Upper Nile,Greater Upper Nile,2013Q3
South Sudan,74,Bor,32.00486,6.465644,2013,10,1.0,0.0,0.6144401,101.4627,19.7809,2.434841,22.64961,4.12428,1,0,1.79405,14008.33,7.961984,283876.0,11393.76,90.8503,2013-10-01,Greater Upper Nile,Greater Upper Nile,2013Q4
South Sudan,74,Bor,32.00486,6.465644,2014,1,2.0,0.0,0.3128272,103.409,0.2761435,-0.08590632,1.038568,0.4161989,39,375,1.914748,14008.33,7.961984,290080.0,11393.76,90.8503,2014-01-01,Greater Upper Nile,Greater Upper Nile,2014Q1
South Sudan,74,Bor,32.00486,6.465644,2014,4,2.0,0.0,0.2628162,88.56615,19.56435,6.400364,9.602914,3.96655,12,76,1.9754,14008.33,7.961984,290080.0,11393.76,90.8503,2014-04-01,Greater Upper Nile,Greater Upper Nile,2014Q2
South Sudan,74,Bor,32.00486,6.465644,2014,7,3.0,0.0,0.6376802,102.3356,20.7079,-2.676958,23.92883,2.339272,2,1,2.229237,14008.33,7.961984,290080.0,11393.76,90.8503,2014-07-01,Greater Upper Nile,Greater Upper Nile,2014Q3
South Sudan,74,Bor,32.00486,6.465644,2014,10,2.0,0.0,0.6590742,108.8331,18.91898,1.572925,26.55071,8.025383,1,1,1.843383,14008.33,7.961984,290080.0,11393.76,90.8503,2014-10-01,Greater Upper Nile,Greater Upper Nile,2014Q4
South Sudan,74,Bor,32.00486,6.465644,2015,1,2.0,1.0,0.305375,100.9456,0.2682341,-0.09381579,1.439902,0.8175327,3,5,1.863284,14008.33,7.961984,296284.0,11393.76,90.8503,2015-01-01,Greater Upper Nile,Greater Upper Nile,2015Q1
South Sudan,74,Bor,32.00486,6.465644,2015,4,2.0,1.0,0.3180263,107.1713,11.30658,-1.85741,7.04928,1.412915,2,0,2.100154,14008.33,7.961984,296284.0,11393.76,90.8503,2015-04-01,Greater Upper Nile,Greater Upper Nile,2015Q2
South Sudan,74,Bor,32.00486,6.465644,2015,7,2.0,0.0,0.6463969,103.7344,18.21496,-5.169898,25.4179,3.828336,2,0,2.895675,14008.33,7.961984,296284.0,11393.76,90.8503,2015-07-01,Greater Upper Nile,Greater Upper Nile,2015Q3
South Sudan,74,Bor,32.00486,6.465644,2015,10,2.0,0.0,0.598138,98.77073,18.93701,1.590952,15.28705,-3.238277,2,24,3.344321,14008.33,7.961984,296284.0,11393.76,90.8503,2015-10-01,Greater Upper Nile,Greater Upper Nile,2015Q4
South Sudan,74,Bor,32.00486,6.465644,2016,2,2.0,0.0,0.2618489,101.9944,0.8404804,-0.04466015,0.3398641,-0.2472475,1,1,4.660846,14008.33,7.961984,262823.0,11393.76,90.8503,2016-02-01,Greater Upper Nile,Greater Upper Nile,2016Q1
South Sudan,74,Bor,32.00486,6.465644,2016,6,2.0,0.0,0.5329208,95.64656,21.72132,2.780861,17.63846,0.6056592,0,0,8.361844,14008.33,7.961984,262823.0,11393.76,90.8503,2016-06-01,Greater Upper Nile,Greater Upper Nile,2016Q2
South Sudan,74,Bor,32.00486,6.465644,2016,10,3.0,0.0,0.5429901,89.66414,15.81447,-1.531585,13.1897,-5.335624,3,1,15.20508,14008.33,7.961984,262823.0,11393.76,90.8503,2016-10-01,Greater Upper Nile,Greater Upper Nile,2016Q4
South Sudan,74,Bor,32.00486,6.465644,2017,2,2.0,1.0,0.2442644,95.145,1.142682,0.2575412,0.4186475,-0.1684641,4,6,26.15236,14008.33,7.961984,229361.0,11393.76,90.8503,2017-02-01,Greater Upper Nile,Greater Upper Nile,2017Q1
South Sudan,74,Bor,32.00486,6.465644,2017,6,3.0,0.0,0.5206785,93.44935,18.02526,-0.9151995,15.18017,-1.852624,2,2,39.65633,14008.33,7.961984,229361.0,11393.76,90.8503,2017-06-01,Greater Upper Nile,Greater Upper Nile,2017Q2
South Sudan,74,Bor,32.00486,6.465644,2017,10,2.0,1.0,0.6428781,106.1587,16.10054,-1.245516,20.34745,1.822118,2,0,44.70566,14008.33,7.961984,229361.0,11393.76,90.8503,2017-10-01,Greater Upper Nile,Greater Upper Nile,2017Q4
South Sudan,74,Bor,32.00486,6.465644,2018,2,3.0,0.0,0.2827513,110.1363,1.114867,0.2297269,1.464564,0.8774522,3,20,43.95076,14008.33,7.961984,195899.0,11393.76,90.8503,2018-02-01,Greater Upper Nile,Greater Upper Nile,2018Q1
South Sudan,74,Bor,32.00486,6.465644,2018,6,3.0,1.0,0.7011102,125.8325,17.06181,-1.878648,24.52075,7.487957,0,0,48.57503,14008.33,7.961984,195899.0,11393.76,90.8503,2018-06-01,Greater Upper Nile,Greater Upper Nile,2018Q2
South Sudan,74,Bor,32.00486,6.465644,2018,10,3.0,0.0,0.6055748,99.99878,15.93039,-1.41567,18.92544,0.4001171,5,14,44.68322,14008.33,7.961984,195899.0,11393.76,90.8503,2018-10-01,Greater Upper Nile,Greater Upper Nile,2018Q4
South Sudan,74,Bor,32.00486,6.465644,2019,2,3.0,1.0,0.269276,104.8874,0.8742678,-0.01087275,0.3102612,-0.2768504,0,0,52.7445,14008.33,7.961984,162438.0,11393.76,90.8503,2019-02-01,Greater Upper Nile,Greater Upper Nile,2019Q1
South Sudan,74,Bor,32.00486,6.465644,2019,6,3.0,0.0,0.6039281,108.3907,24.9784,6.037935,23.5324,6.499607,1,0,61.69735,14008.33,7.961984,162438.0,11393.76,90.8503,2019-06-01,Greater Upper Nile,Greater Upper Nile,2019Q2
South Sudan,74,Bor,32.00486,6.465644,2019,10,3.0,0.0,0.6661006,109.9934,27.90769,10.56164,26.16527,7.639943,1,1,65.85496,14008.33,7.961984,162438.0,11393.76,90.8503,2019-10-01,Greater Upper Nile,Greater Upper Nile,2019Q4
